0.8290371879775853
1   1:1,2,3,4,5,6,7,8,9,10,11,12    0.829240957717779
2   2:1,2,3,4,5,6,7,8,9,10,11,12    0.828222109016811
3   3:1,2,3,4,5,6,7,8,9,10,11,12    0.8255731023942945
4   4:1,2,3,4,5,6,7,8,9,10,11,12    0.8258787570045848
5   5:1,2,3,4,5,6,7,8,9,10,11,12    0.808762098828324
6   6:1,2,3,4,5,6,7,8,9,10,11,12    0.8090677534386144
7   7:1,2,3,4,5,6,7,8,9,10,11,12    0.8018339276617422
8   8:1,2,3,4,5,6,7,8,9,10,11,12    0.8210901681100357
9   9:1,2,3,4,5,6,7,8,9,10,11,12    0.7708609271523179
10  10:1,2,3,4,5,6,7,8,9,10,11,12   0.8248599083036169
11  11:1,2,3,4,5,6,7,8,9,10,11,12   0.7099337748344371
12  12:1,2,3,4,5,6,7,8,9,10,11,12   0.8231278655119715
