0.9078498293515359
1   1:1,2,3,4,5,6,7,8,9,10,11,12   0.8986013986013986
2   2:1,2,3,4,5,6,7,8,9,10,11,12   0.9020979020979022
3   3:1,2,3,4,5,6,7,8,9,10,11,12   0.8996655518394648
4   4:1,2,3,4,5,6,7,8,9,10,11,12   0.8903878583473862
5   5:1,2,3,4,5,6,7,8,9,10,11,12   0.8916083916083916
6   6:1,2,3,4,5,6,7,8,9,10,11,12   0.8700361010830325
7   7:1,2,3,4,5,6,7,8,9,10,11,12   0.8866666666666667
8   8:1,2,3,4,5,6,7,8,9,10,11,12   0.8922056384742951
9   9:1,2,3,4,5,6,7,8,9,10,11,12   0.8892617449664431
10  10:1,2,3,4,5,6,7,8,9,10,11,12 0.8951747088186357
11  11:1,2,3,4,5,6,7,8,9,10,11,12 0.9044368600682594
12  12:1,2,3,4,5,6,7,8,9,10,11,12 0.9078726968174204
