0.5630491915710935
1   1:1,2,3,4,5,6,7,8,9,10,11,12   0.5807123762097498
2   2:1,2,3,4,5,6,7,8,9,10,11,12   0.554912808282685
3   3:1,2,3,4,5,6,7,8,9,10,11,12   0.5530217811194
4   4:1,2,3,4,5,6,7,8,9,10,11,12   0.5896871028466439
5   5:1,2,3,4,5,6,7,8,9,10,11,12   0.5691684038863919
6   6:1,2,3,4,5,6,7,8,9,10,11,12   0.5869227172065937
7   7:1,2,3,4,5,6,7,8,9,10,11,12   0.542932854568468
8   8:1,2,3,4,5,6,7,8,9,10,11,12   0.5656512769261853
9   9:1,2,3,4,5,6,7,8,9,10,11,12   0.5862533930600534
10  10:1,2,3,4,5,6,7,8,9,10,11,12 0.5562809003716174
11  11:1,2,3,4,5,6,7,8,9,10,11,12 0.5650459791482846
12  12:1,2,3,4,5,6,7,8,9,10,11,12 0.6090013438854784
