0.9094036697247706
1   1:1,2,3,4,5,6,7,8,9,10,11,12   0.9094036697247706
2   2:1,2,3,4,5,6,7,8,9,10,11,12   0.9139908256880734
3   3:1,2,3,4,5,6,7,8,9,10,11,12   0.9105504587155964
4   4:1,2,3,4,5,6,7,8,9,10,11,12   0.9071100917431193
5   5:1,2,3,4,5,6,7,8,9,10,11,12   0.9071100917431193
6   6:1,2,3,4,5,6,7,8,9,10,11,12   0.9139908256880734
7   7:1,2,3,4,5,6,7,8,9,10,11,12   0.9139908256880734
8   8:1,2,3,4,5,6,7,8,9,10,11,12   0.911697247706422
9   9:1,2,3,4,5,6,7,8,9,10,11,12   0.911697247706422
10  10:1,2,3,4,5,6,7,8,9,10,11,12 0.9139908256880734
11  11:1,2,3,4,5,6,7,8,9,10,11,12 0.911697247706422
12  12:1,2,3,4,5,6,7,8,9,10,11,12 0.5344036697247706
